Abbreviation	Name	Reaction	Reactions with MetNames	GPR	Genes	Protein	Subsystems	KEGGSubsys	Reversible	Lower bound	Upper bound	Objective	Confidence Score	EC. Number	Notes	References
rxn02900	2-aminoethylphosphonate:pyruvate aminotransferase	cpd00020[c] + cpd02233[c]  <=> cpd00035[c] + cpd02024[c] 	Pyruvate + Ciliatine  <=> L-Alanine + Phosphonoacetaldehyde 	PA1310	PA1310			Phosphonate and phosphinate metabolism	1	-1000	1000	0		2.6.1.37		
rxn02842	2-deoxy-D-gluconate 3-dehydrogenase	cpd00003[c] + cpd01795[c]  <=> cpd00004[c] + cpd00067[c] + cpd02441[c] 	NAD + 2-Deoxy-D-gluconate  <=> NADH + H+ + 3-Dehydro-2-deoxy-D-gluconate 	(PA2892 or PA4098 or PA4079 or PA3387)	PA2892 PA4098 PA4079 PA3387				1	-1000	1000	0		1.1.1.125		
rxn13790	2-dehydro-D-gluconate reductase extracellular (NADPH) (irreversible)	cpd00006[c] + cpd00222[e]  -> cpd00067[c] + cpd00005[c] + cpd00480[e] 	NADP + GLCN  -> H+ + NADPH + 2-Dehydro-D-gluconate 	(PA2264 and PA2265)	PA2264 PA2265				0	0	1000	0			*JCT 02/17/14 I suggest this reaction is irreversible	
rxn13791	2-dehydro-D-gluconate transport (irreversible)	cpd00480[e]  -> cpd00480[c] 	2-Dehydro-D-gluconate  -> 2-Dehydro-D-gluconate 	PA2262	PA2262			Transport	0	0	1000	0			*JCT 02/17/14 I suggest this reaction is irreversible	
rxn13792	S-2-hydroxylauroyl-ACP synthase	0.5 cpd00007[c] + cpd11468[c]  <=> cpd17046[c] 	0.5 O2 + Dodecanoyl-ACP  -> 2-hydroxydodecanoyl-[acyl-carrier protein] 	(PA4512 or PA0936)	PA4512 PA0936			Fatty acid biosynthesis	0	0	1000	0			*JAB 04/02/14 - made forward to prevent O2 generation in anaerobic conditions; *ASB 03/28/14 - tentative subsystem assignment	
rxn13793	S-2-hydroxymyristoyl-ACP synthase	0.5 cpd00007[c] + cpd11466[c]  <=> cpd17047[c] 	0.5 O2 + Myristoyl-ACP  -> S-2-hydroxymyristoyl-[acyl-carrier protein] 	(PA4512 or PA0936)	PA4512 PA0936			Fatty acid biosynthesis	0	0	1000	0			*JAB 04/02/14 - made forward to prevent O2 generation in anaerobic conditions; *ASB 03/28/14 - tentative subsystem assignment	
rxn02271	S-(2-Methylbutanoyl)-dihydrolipoamide	cpd00449[c] + cpd00760[c]  <=> cpd00010[c] + cpd03045[c] 	Dihydrolipoamide + 2-Methylbutyryl-CoA  <=> CoA + S-(2-Methylbutanoyl)-dihydrolipoamide 	PA1586	PA1586			Valine, leucine and isoleucine degradation	1	-1000	1000	0		2.3.1.168		
rxn00019	2-Nitropropane Dioxygenase	cpd00007[c] + 2 cpd01433[c]  <=> 2 cpd00067[c] + 2 cpd00075[c] + 2 cpd00178[c] 	O2 + 2 2-Nitropropane  <=> 2 H+ + 2 Nitrite + 2 Acetone 	PA1024	PA1024			Nitrogen metabolism	1	-1000	1000	0			*ASB 03/28/14 - tentative subsystem assignment	
rxn13794	4-Aminobutyrate transport via ABC system	cpd00001[c] + cpd00002[c] + cpd00281[e]  -> cpd00067[c] + cpd00281[c] + cpd00008[c] + cpd00009[c] 	H2O + ATP + GABA  -> H+ + GABA + ADP + Phosphate 	(PA1074 and PA1073 and PA1072 and PA1071 and PA1070)	PA1074 PA1073 PA1072 PA1071 PA1070		Transport Extracellular	Transport	0	0	1000	0				
rxn13795	3-aminopropanaldehyde dehydrogenase	cpd00001[c] + cpd00003[c] + cpd17049[c]  <=> cpd00004[c] + cpd00067[c] + cpd00085[c] 	H2O + NAD + 3-aminopropanaldehyde  <=> NADH + H+ + beta-Alanine 	PA5312	PA5312			beta-Alanine metabolism	1	-1000	1000	0		1.2.1.3, 1.2.1.5, 1.2.1.19		
rxn13796	unknown enzyme	cpd00001[c] + cpd17045[c]  <=> cpd00010[c] + cpd17050[c] 	H2O + beta-hydroxydecanoyl-beta-hydroxydecanoyl-S-CoA  <=> CoA + 3-hydroxydecanoyl-3-hydroxydecanoate 		 		Exchange		1	-1000	1000	0				
rxn00992	3-hydroxybutyrate dehydrogenase	cpd00003[c] + cpd00797[c]  <=> cpd00004[c] + cpd00067[c] + cpd00142[c] 	NAD + (R)-3-Hydroxybutanoate  <=> NADH + H+ + Acetoacetate 	PA2003	PA2003			Butanoate metabolism	1	-1000	1000	0		1.1.1.30		
rxn02867	S-(3-Methylbutanoyl)-dihydrolipoamide	cpd00449[c] + cpd01882[c]  <=> cpd00010[c] + cpd03046[c] 	Dihydrolipoamide + Isovaleryl-CoA  <=> CoA + S-(3-Methylbutanoyl)-dihydrolipoamide 	PA1586	PA1586		Leucine degradation		1	-1000	1000	0				
rxn13797	3-oxo-C12-homoserine lactone acylase	cpd00001[c] + cpd17082[c]  <=> cpd00067[c] + cpd01581[c] + cpd16660[c] 	H2O + N-(3-oxo-dodecanoyl)-L-homoserine lactone  <=> H+ + 3-Oxododecanoate + homoserine lactone 	PA2385	PA2385				1	-1000	1000	0				
rxn00598	3-oxoadipyl-CoA thiolase	cpd00022[c] + cpd00078[c]  <=> cpd00010[c] + cpd01507[c] 	Acetyl-CoA + Succinyl-CoA  <=> CoA + 3-Oxoadipyl-CoA 	PA0228	PA0228			Benzoate degradation	1	-1000	1000	0		2.3.1.16,2.3.1.174		
rxn05118	4-aminobutanoate cyclization reaction	cpd00434[c]  <=> cpd00001[c] + cpd11311[c] 	4-Aminobutanal  <=> H2O + 1-Pyrroline 		 		Exchange		1	-1000	1000	0		2.6.1.82		
rxn03236	4a-hydroxytetrahydrobiopterin dehydratase;	cpd03897[c]  <=> cpd00001[c] + cpd00231[c] 	4a-Hydroxytetrahydrobiopterin  <=> H2O + Dihydrobiopterin 	PA0871	PA0871			Folate biosynthesis	1	-1000	1000	0		4.2.1.96		
rxn12549	4-Hydroxybenzoate transport	cpd00067[e] + cpd00136[e]  <=> cpd00067[c] + cpd00136[c] 	H+ + 4-Hydroxybenzoate  <=> H+ + 4-Hydroxybenzoate 	(PA2472) or (PA0235)	PA2472 PA0235			Transport	1	-1000	1000	0			*JAB 01/13/14 - merged with Burk-equivalent GPR	
rxn01945	4-hydroxyphenylacetate 3-monooxygenase	cpd00007[c] + cpd00004[c] + cpd00067[c] + cpd00489[c]  -> cpd00001[c] + cpd00003[c] + cpd00854[c] 	O2 + NADH + H+ + 4-Hydroxyphenylacetate  -> H2O + NAD + Homoprotocatechuate 	(PA4091 and PA4092)	PA4091 PA4092			Tyrosine metabolism	0	0	1000	0		1.14.14.9		
rxn03446	4-Hydroxy-L-threonine synthase	cpd00001[c] + cpd03607[c]  -> cpd00067[c] + cpd00009[c] + cpd03608[c] 	H2O + 4-(Phosphonooxy)-threonine  -> H+ + Phosphate + 4-Hydroxy-L-threonine 	PA3735	PA3735		Pyridoxine Metabolism	Vitamin B6 metabolism	0	0	1000	0		4.2.3.1		
rxn03055	5-carboxy-2-hydroxymuconate semialdehyde dehydrogenase	cpd00001[c] + cpd00003[c] + cpd02828[c]  -> cpd00004[c] + 2 cpd00067[c] + cpd02572[c] 	H2O + NAD + 5-Carboxymethyl-2-hydroxymuconic semialdehyde  -> NADH + 2 H+ + 5-Carboxymethyl-2-hydroxymuconate 	PA4123	PA4123			Tyrosine metabolism	0	0	1000	0		1.2.1.45,1.2.1.60		
rxn13798	probable phenazine-specific methyltransferase	cpd17083[c] + cpd00017[c]  <=> cpd00019[c] + cpd17053[c] 	phenazine-1-carboxylic acid + S-Adenosyl-L-methionine  <=> S-Adenosyl-homocysteine + 5-methylphenazine-1-carboxylic acid betaine 	PA4209	PA4209				1	-1000	1000	0				
rxn13799	5mta transport irreversible, extracellular	cpd00147[c]  <=> cpd00147[e] 	5-Methylthioadenosine  <=> 5-Methylthioadenosine 		 		Exchange	Transport	1	-1000	1000	0				
rxn01117	arabinose-5-phosphate isomerase	cpd00817[c]  <=> cpd00171[c] 	D-Arabinose5-phosphate  <=> D-Ribulose5-phosphate 	PA4457	PA4457		Alternate Carbon Metabolism	Lipopolysaccharide biosynthesis	1	-1000	1000	0		5.3.1.13		
rxn01204	4-aminobutyrate transaminase	cpd00281[c] + cpd00024[c]  <=> cpd00023[c] + cpd00199[c] 	GABA + 2-Oxoglutarate  <=> L-Glutamate + 4-Oxobutanoate 	PA0266	PA0266		Amino Acid Degradation	Butanoate metabolism	1	-1000	1000	0		2.6.1.19		
rxn13800	Aerobactin transport via ABC system	cpd00001[c] + cpd00002[c] + cpd03294[e]  -> cpd00067[c] + cpd00008[c] + cpd00009[c] + cpd03294[c] 	H2O + ATP + Aerobactin  -> H+ + ADP + Phosphate + Aerobactin 	PA2912	PA2912			Transport	0	0	1000	0				
rxn01851	aminobutyraldehyde dehydrogenase	cpd00001[c] + cpd00003[c] + cpd00434[c]  -> cpd00004[c] + 2 cpd00067[c] + cpd00281[c] 	H2O + NAD + 4-Aminobutanal  -> NADH + 2 H+ + GABA 	(PA0219 or PA5312)	PA0219 PA5312		Amino Acid Degradation	Arginine and proline metabolism	0	0	1000	0		1.2.1.19,1.2.1.3		
rxn00988	acetoacetyl-CoAsynthetase	cpd00067[c] + cpd00010[c] + cpd00002[c] + cpd00142[c]  -> cpd00012[c] + cpd00018[c] + cpd00279[c] 	H+ + CoA + ATP + Acetoacetate  -> PPi + AMP + Acetoacetyl-CoA 	PA1997	PA1997			Butanoate metabolism	0	0	1000	0		6.2.1.16		
rxn00676	acetyl-CoA C-acyltransferase (2-Methyl-3-acetoacetyl-CoA)	cpd00022[c] + cpd00086[c]  <=> cpd00010[c] + cpd02124[c] 	Acetyl-CoA + Propionyl-CoA  <=> CoA + 2-Methylacetoacetyl-CoA 	PA1736	PA1736			Valine, leucine and isoleucine degradation	1	-1000	1000	0		2.3.1.16		
rxn00533	acetyl-CoA carboxylase	cpd00002[c] + cpd00022[c] + cpd00242[c]  <=> cpd00067[c] + cpd00008[c] + cpd00009[c] + cpd00070[c] 	ATP + Acetyl-CoA + H2CO3  <=> H+ + ADP + Phosphate + Malonyl-CoA 	(PA3639 and PA4847 and PA4848 and PA3112)	PA3639 PA4847 PA4848 PA3112			Propanoate metabolism	1	-1000	1000	0		6.4.1.2		
rxn01917	acetylglutamate kinase	cpd00067[c] + cpd00002[c] + cpd00477[c]  <=> cpd00008[c] + cpd02552[c] 	H+ + ATP + N-Acetyl-L-glutamate  <=> ADP + n-acetylglutamyl-phosphate 	PA5323	PA5323		Arginine Putriscine and Spermidine Metabolism	Arginine and proline metabolism	1	-1000	1000	0		2.7.2.8		
rxn00192	N-acetylglutamate synthase	cpd00023[c] + cpd00022[c]  -> cpd00067[c] + cpd00010[c] + cpd00477[c] 	L-Glutamate + Acetyl-CoA  -> H+ + CoA + N-Acetyl-L-glutamate 	PA5204	PA5204		Arginine Putriscine and Spermidine Metabolism	Urea cycle and metabolism of amino groups	0	0	1000	0		2.3.1.1		
rxn08043	2-aceto-2-hydroxybutanoate synthase	cpd00067[c] + cpd00020[c] + cpd00094[c]  -> cpd00011[c] + cpd00498[c] 	H+ + Pyruvate + 2-Oxobutyrate  -> CO2 + 2-Aceto-2-hydroxybutanoate 	(PA4695 and PA4696)	PA4695 PA4696		Branched Chain Amino Acid Biosynthesis	Valine, leucine and isoleucine degradation	0	0	1000	0		2.2.1.6		
